user_id,course_id,update_time,collect_status,commit_status,duration,click_times,score
11859700000000.0,1196890000000000.0,20/7/2019 13:20:29,NO,NO,1590,3,76
4741680000000.0,1229140000000000.0,12/2/2020 04:01:49,NO,NO,26,2,100
18221100000000.0,12654100000000.0,22/3/2019 01:34:11,NO,NO,429,2,100
20277400000000.0,770545000000000.0,31/12/2019 04:17:48,NO,NO,1110,1,0
9201260000000.0,1902340000000000.0,9/9/2020 05:08:40,NO,NO,920,3,100
10514700000000.0,12394800000000.0,24/9/2020 13:37:24,NO,NO,290,3,100
4919290000000.0,1.30733e+18,20/9/2020 02:37:53,NO,NO,325,3,66
15846000000000.0,1398140000000000.0,30/5/2020 01:31:11,NO,NO,340,3,100
2715440000000.0,1781300000000000.0,25/12/2019 07:43:08,NO,NO,1018,2,80
11491000000000.0,1720340000000000.0,20/11/2019 03:12:36,NO,NO,13,0,0
5552340000000.0,1350430000000000.0,18/3/2019 03:00:06,NO,NO,553,2,67
6666900000000.0,1398140000000000.0,12/10/2020 03:09:27,NO,NO,325,3,100
3604840000000.0,1.2833e+18,29/7/2020 10:20:52,YES,NO,625,5,40
12762000000000.0,1288950000000000.0,17/12/2019 03:28:57,NO,NO,322,2,0
10925700000000.0,1134520000000000.0,11/9/2018 08:53:34,NO,NO,412,4,100
4673140000000.0,16083100000000.0,24/6/2020 02:51:47,NO,NO,81,5,100
17748300000000.0,1549570000000000.0,25/9/2020 07:29:55,NO,NO,255,2,60
10890400000000.0,1219170000000000.0,25/12/2018 13:34:31,NO,NO,247,3,33
10364300000000.0,415636000000000.0,20/11/2019 23:49:56,NO,NO,1315,1,0
12299900000000.0,152156000000000.0,24/2/2020 06:39:31,NO,NO,337,2,100
2564380000000.0,1660810000000000.0,5/2/2020 09:13:31,NO,NO,268,2,67
5694770000000.0,188050000000000.0,21/2/2020 02:14:04,NO,NO,65,3,100
16692400000000.0,1782400000000000.0,11/5/2020 11:42:46,NO,NO,305,3,100
6846560000000.0,1320240000000000.0,25/2/2020 08:06:47,NO,NO,69,3,100
9036610000000.0,1593380000000000.0,28/11/2019 13:40:52,NO,NO,35,4,0
14646100000000.0,723847000000000.0,20/12/2018 22:20:52,NO,NO,1592,1,0
6184070000000.0,1335650000000000.0,26/3/2020 08:49:47,NO,NO,406,2,100
18381500000000.0,1344360000000000.0,5/3/2018 13:45:19,NO,NO,851,0,0
8091590000000.0,1182210000000000.0,22/2/2020 05:41:26,NO,NO,393,2,80
4699420000000.0,1806250000000000.0,4/7/2019 15:01:16,NO,NO,1024,6,100
18191200000000.0,1.25542e+18,18/5/2020 23:09:20,NO,NO,465,3,100
3918890000000.0,1239410000000000.0,6/3/2019 14:38:46,NO,NO,16,0,0
14365300000000.0,1634920000000000.0,18/2/2020 02:59:03,NO,NO,472,3,100
8459130000000.0,1229140000000000.0,15/2/2020 12:23:16,NO,NO,243,2,100
10553300000000.0,1319650000000000.0,29/6/2020 09:51:47,NO,NO,245,5,100
